Date,Zone,Area_Type,Water_Supplied,Water_Consumed,Population
2023-01-22,Zone B,Commercial,413.42,364.92,60000
2023-01-22,Zone C,Industrial,378.35,358.28,70000
2023-01-23,Zone A,Residential,343.75,322.35,50000
2023-01-23,Zone B,Commercial,371.67,360.2,60000
2023-01-23,Zone C,Industrial,373.99,361.93,70000
2023-01-24,Zone A,Residential,431.88,410.73,50000
2023-01-24,Zone B,Commercial,373.41,357.62,60000
2023-01-24,Zone C,Industrial,397.07,367.5,70000
2023-01-25,Zone A,Residential,404.34,384.84,50000
2023-01-25,Zone B,Commercial,416.15,377.02,60000
2023-01-25,Zone C,Industrial,425.38,390.03,70000
2023-01-26,Zone A,Residential,365.66,334.23,50000
2023-01-26,Zone B,Commercial,354.09,342.46,60000
2023-01-26,Zone C,Industrial,384.58,350.94,70000
2023-01-27,Zone A,Residential,367.13,331.33,50000
2023-01-27,Zone B,Commercial,380.69,363.71,60000
2023-01-27,Zone C,Industrial,391.42,343.95,70000
2023-01-28,Zone A,Residential,408.69,393.19,50000
2023-01-28,Zone B,Commercial,393.52,346.53,60000
2023-01-28,Zone C,Industrial,400.84,355.75,70000
2023-01-29,Zone A,Residential,420.79,378.1,50000
2023-01-29,Zone B,Commercial,369.42,337.21,60000
2023-01-29,Zone C,Industrial,343.4,329.68,70000
2023-01-30,Zone A,Residential,410.83,364.94,50000
2023-01-30,Zone B,Commercial,390.01,366.45,60000
2023-01-30,Zone C,Industrial,400.85,376.89,70000
2023-01-31,Zone A,Residential,416.39,370.9,50000
2023-01-31,Zone B,Commercial,407.6,366.4,60000
2023-01-31,Zone C,Industrial,363.33,346.86,70000
2023-02-01,Zone A,Residential,410.06,364.12,50000
2023-02-01,Zone B,Commercial,375.54,365.34,60000
2023-02-01,Zone C,Industrial,361.62,345.19,70000
2023-02-02,Zone A,Residential,431.69,395.61,50000
2023-02-02,Zone B,Commercial,386.74,367.77,60000
2023-02-02,Zone C,Industrial,361.82,338.8,70000
2023-02-03,Zone A,Residential,412.53,372.67,50000
2023-02-03,Zone B,Commercial,412.5,376.19,60000
2023-02-03,Zone C,Industrial,397.91,365.18,70000
2023-02-04,Zone A,Residential,371.08,350.47,50000
2023-02-04,Zone B,Commercial,360.06,340.3,60000
2023-02-04,Zone C,Industrial,399.51,353.83,70000
2023-02-05,Zone A,Residential,395.72,360.48,50000
2023-02-05,Zone B,Commercial,386.99,353.91,60000
2023-02-05,Zone C,Industrial,412.43,382.72,70000
2023-02-06,Zone A,Residential,385.52,364.29,50000
2023-02-06,Zone B,Commercial,345.6,334.63,60000
2023-02-06,Zone C,Industrial,377.97,330.36,70000
2023-02-07,Zone A,Residential,407.55,359.39,50000
2023-02-07,Zone B,Commercial,355.89,345.27,60000
2023-02-07,Zone C,Industrial,411.15,364.02,70000
2023-02-08,Zone A,Residential,405.58,357.04,50000
2023-02-08,Zone B,Commercial,390.24,346.12,60000
2023-02-08,Zone C,Industrial,374.68,330.64,70000
2023-02-09,Zone A,Residential,337.66,314.98,50000
2023-02-09,Zone B,Commercial,397.0,349.56,60000
2023-02-09,Zone C,Industrial,358.2,320.36,70000
2023-02-10,Zone A,Residential,359.79,325.19,50000
2023-02-10,Zone B,Commercial,395.54,345.94,60000
2023-02-10,Zone C,Industrial,389.12,344.03,70000
2023-02-11,Zone A,Residential,357.12,317.49,50000
2023-02-11,Zone B,Commercial,386.39,362.01,60000
2023-02-11,Zone C,Industrial,383.17,361.43,70000
2023-02-12,Zone A,Residential,392.73,348.05,50000
2023-02-12,Zone B,Commercial,394.55,348.03,60000
2023-02-12,Zone C,Industrial,389.98,348.05,70000
2023-02-13,Zone A,Residential,448.13,412.13,50000
2023-02-13,Zone B,Commercial,399.75,354.15,60000
2023-02-13,Zone C,Industrial,371.62,348.1,70000
2023-02-14,Zone A,Residential,350.01,316.88,50000
2023-02-14,Zone B,Commercial,339.04,327.6,60000
2023-02-14,Zone C,Industrial,400.09,378.63,70000
2023-02-15,Zone A,Residential,325.84,292.21,50000
2023-02-15,Zone B,Commercial,335.2,320.12,60000
2023-02-15,Zone C,Industrial,382.22,351.34,70000
2023-02-16,Zone A,Residential,347.35,312.44,50000
2023-02-16,Zone B,Commercial,353.75,340.33,60000
2023-02-16,Zone C,Industrial,359.28,327.65,70000
2023-02-17,Zone A,Residential,346.38,310.88,50000
2023-02-17,Zone B,Commercial,325.22,283.41,60000
2023-02-17,Zone C,Industrial,348.48,327.64,70000
2023-02-18,Zone A,Residential,316.24,305.23,50000
2023-02-18,Zone B,Commercial,367.29,318.79,60000
2023-02-18,Zone C,Industrial,357.54,331.18,70000
2023-02-19,Zone A,Residential,352.51,335.58,50000
2023-02-19,Zone B,Commercial,340.73,308.76,60000
2023-02-19,Zone C,Industrial,343.78,305.2,70000
2023-02-20,Zone A,Residential,338.45,290.25,50000
2023-02-20,Zone B,Commercial,373.34,333.83,60000
2023-02-20,Zone C,Industrial,384.7,357.91,70000
2023-02-21,Zone A,Residential,353.28,333.37,50000
2023-02-21,Zone B,Commercial,348.64,338.06,60000
2023-02-21,Zone C,Industrial,313.21,298.57,70000
2023-02-22,Zone A,Residential,347.87,318.91,50000
2023-02-22,Zone B,Commercial,339.44,325.52,60000
2023-02-22,Zone C,Industrial,262.13,245.21,70000
2023-02-23,Zone A,Residential,314.28,286.92,50000
2023-02-23,Zone B,Commercial,375.46,340.06,60000
2023-02-23,Zone C,Industrial,290.62,278.81,70000
2023-02-24,Zone A,Residential,363.82,333.7,50000
2023-02-24,Zone B,Commercial,320.42,276.16,60000
2023-02-24,Zone C,Industrial,298.07,285.24,70000
2023-02-25,Zone A,Residential,347.37,311.68,50000
2023-02-25,Zone B,Commercial,351.44,303.83,60000
2023-02-25,Zone C,Industrial,327.75,294.73,70000
2023-02-26,Zone A,Residential,360.16,331.83,50000
2023-02-26,Zone B,Commercial,307.18,275.35,60000
2023-02-26,Zone C,Industrial,345.52,297.07,70000
2023-02-27,Zone A,Residential,355.89,309.67,50000
2023-02-27,Zone B,Commercial,316.37,303.53,60000
2023-02-27,Zone C,Industrial,308.21,285.45,70000
2023-02-28,Zone A,Residential,298.78,284.05,50000
2023-02-28,Zone B,Commercial,350.7,312.83,60000
2023-02-28,Zone C,Industrial,353.24,313.83,70000
2023-03-01,Zone A,Residential,342.21,300.07,50000
2023-03-01,Zone B,Commercial,317.37,277.34,60000
2023-03-01,Zone C,Industrial,324.99,282.72,70000
2023-03-02,Zone A,Residential,316.62,291.74,50000
2023-03-02,Zone B,Commercial,335.56,294.51,60000
2023-03-02,Zone C,Industrial,347.44,303.1,70000
2023-03-03,Zone A,Residential,313.68,286.52,50000
2023-03-03,Zone B,Commercial,321.2,307.08,60000
2023-03-03,Zone C,Industrial,352.94,306.84,70000
2023-03-04,Zone A,Residential,338.06,315.26,50000
2023-03-04,Zone B,Commercial,335.39,289.57,60000
2023-03-04,Zone C,Industrial,343.66,295.63,70000
2023-03-05,Zone A,Residential,318.26,285.32,50000
2023-03-05,Zone B,Commercial,293.29,271.56,60000
2023-03-05,Zone C,Industrial,352.92,329.77,70000
2023-03-06,Zone A,Residential,351.71,310.05,50000
2023-03-06,Zone B,Commercial,344.3,302.72,60000
2023-03-06,Zone C,Industrial,298.94,286.64,70000
2023-03-07,Zone A,Residential,300.09,268.1,50000
2023-03-07,Zone B,Commercial,329.59,305.55,60000
2023-03-07,Zone C,Industrial,297.79,283.11,70000
2023-03-08,Zone A,Residential,328.41,293.68,50000
2023-03-08,Zone B,Commercial,288.19,274.15,60000
2023-03-08,Zone C,Industrial,303.23,290.32,70000
2023-03-09,Zone A,Residential,317.74,274.86,50000
2023-03-09,Zone B,Commercial,288.97,275.58,60000
2023-03-09,Zone C,Industrial,339.11,289.64,70000
2023-03-10,Zone A,Residential,298.35,255.84,50000
2023-03-10,Zone B,Commercial,304.54,256.65,60000
2023-03-10,Zone C,Industrial,311.52,270.43,70000
2023-03-11,Zone A,Residential,312.88,280.55,50000
2023-03-11,Zone B,Commercial,316.42,301.97,60000
2023-03-11,Zone C,Industrial,311.32,281.62,70000
2023-03-12,Zone A,Residential,296.93,284.68,50000
2023-03-12,Zone B,Commercial,294.03,279.28,60000
2023-03-12,Zone C,Industrial,331.35,291.51,70000
2023-03-13,Zone A,Residential,302.3,268.97,50000
2023-03-13,Zone B,Commercial,304.76,283.34,60000
2023-03-13,Zone C,Industrial,338.29,293.55,70000
2023-03-14,Zone A,Residential,303.63,290.67,50000
2023-03-14,Zone B,Commercial,318.6,286.44,60000
2023-03-14,Zone C,Industrial,321.86,286.68,70000
2023-03-15,Zone A,Residential,334.88,297.05,50000
2023-03-15,Zone B,Commercial,363.53,330.16,60000
2023-03-15,Zone C,Industrial,317.79,271.75,70000
2023-03-16,Zone A,Residential,353.11,332.01,50000
2023-03-16,Zone B,Commercial,289.57,272.05,60000
2023-03-16,Zone C,Industrial,279.08,245.74,70000
2023-03-17,Zone A,Residential,292.15,279.04,50000
2023-03-17,Zone B,Commercial,318.77,296.39,60000
2023-03-17,Zone C,Industrial,369.63,327.08,70000
2023-03-18,Zone A,Residential,319.57,273.14,50000
2023-03-18,Zone B,Commercial,343.85,300.94,60000
2023-03-18,Zone C,Industrial,312.01,264.7,70000
2023-03-19,Zone A,Residential,374.14,329.49,50000
2023-03-19,Zone B,Commercial,365.94,316.45,60000
2023-03-19,Zone C,Industrial,299.5,283.48,70000
2023-03-20,Zone A,Residential,309.36,260.56,50000
2023-03-20,Zone B,Commercial,365.59,321.9,60000
2023-03-20,Zone C,Industrial,319.13,292.54,70000
2023-03-21,Zone A,Residential,342.68,321.74,50000
2023-03-21,Zone B,Commercial,337.85,297.09,60000
2023-03-21,Zone C,Industrial,345.72,297.93,70000
2023-03-22,Zone A,Residential,318.35,290.33,50000
2023-03-22,Zone B,Commercial,326.96,311.79,60000
2023-03-22,Zone C,Industrial,320.89,301.74,70000
2023-03-23,Zone A,Residential,349.02,312.15,50000
2023-03-23,Zone B,Commercial,285.72,271.18,60000
2023-03-23,Zone C,Industrial,364.28,327.42,70000
2023-03-24,Zone A,Residential,366.39,335.58,50000
2023-03-24,Zone B,Commercial,350.96,306.88,60000
2023-03-24,Zone C,Industrial,390.84,345.78,70000
2023-03-25,Zone A,Residential,368.67,342.53,50000
2023-03-25,Zone B,Commercial,358.49,320.33,60000
2023-03-25,Zone C,Industrial,353.31,334.8,70000
2023-03-26,Zone A,Residential,357.29,331.61,50000
2023-03-26,Zone B,Commercial,302.76,275.26,60000
2023-03-26,Zone C,Industrial,335.61,305.05,70000
2023-03-27,Zone A,Residential,369.29,327.94,50000
2023-03-27,Zone B,Commercial,390.66,346.16,60000
2023-03-27,Zone C,Industrial,333.97,285.99,70000
2023-03-28,Zone A,Residential,311.17,282.8,50000
2023-03-28,Zone B,Commercial,364.96,315.76,60000
2023-03-28,Zone C,Industrial,310.86,275.52,70000
2023-03-29,Zone A,Residential,338.09,318.49,50000
2023-03-29,Zone B,Commercial,344.88,327.6,60000
2023-03-29,Zone C,Industrial,325.3,301.47,70000
2023-03-30,Zone A,Residential,359.22,322.52,50000
2023-03-30,Zone B,Commercial,359.77,342.87,60000
2023-03-30,Zone C,Industrial,330.25,313.17,70000
2023-03-31,Zone A,Residential,325.05,311.5,50000
2023-03-31,Zone B,Commercial,343.47,325.22,60000
2023-03-31,Zone C,Industrial,331.23,306.66,70000
2023-04-01,Zone A,Residential,381.9,370.32,50000
2023-04-01,Zone B,Commercial,373.71,331.73,60000
2023-04-01,Zone C,Industrial,361.98,317.03,70000
2023-04-02,Zone A,Residential,385.87,339.04,50000
2023-04-02,Zone B,Commercial,374.76,332.51,60000
2023-04-02,Zone C,Industrial,370.27,330.34,70000
2023-04-03,Zone A,Residential,352.74,327.93,50000
2023-04-03,Zone B,Commercial,356.4,327.02,60000
2023-04-03,Zone C,Industrial,336.73,308.23,70000
2023-04-04,Zone A,Residential,409.58,369.68,50000
2023-04-04,Zone B,Commercial,384.34,353.88,60000
2023-04-04,Zone C,Industrial,379.86,348.57,70000
2023-04-05,Zone A,Residential,374.92,343.62,50000
2023-04-05,Zone B,Commercial,346.76,327.06,60000
2023-04-05,Zone C,Industrial,341.85,331.05,70000
2023-04-06,Zone A,Residential,344.44,321.56,50000
2023-04-06,Zone B,Commercial,351.87,337.07,60000
2023-04-06,Zone C,Industrial,374.0,328.38,70000
2023-04-07,Zone A,Residential,429.14,387.57,50000
2023-04-07,Zone B,Commercial,401.4,371.46,60000
2023-04-07,Zone C,Industrial,388.85,355.37,70000
2023-04-08,Zone A,Residential,380.21,340.4,50000
2023-04-08,Zone B,Commercial,358.23,336.88,60000
2023-04-08,Zone C,Industrial,378.34,353.82,70000
2023-04-09,Zone A,Residential,404.14,379.9,50000
2023-04-09,Zone B,Commercial,449.03,399.57,60000
2023-04-09,Zone C,Industrial,347.48,333.41,70000
2023-04-10,Zone A,Residential,392.45,376.34,50000
2023-04-10,Zone B,Commercial,369.53,352.06,60000
2023-04-10,Zone C,Industrial,376.74,355.33,70000
2023-04-11,Zone A,Residential,396.09,369.68,50000
2023-04-11,Zone B,Commercial,401.38,352.09,60000
2023-04-11,Zone C,Industrial,412.71,363.93,70000
2023-04-12,Zone A,Residential,398.72,354.1,50000
2023-04-12,Zone B,Commercial,377.56,360.72,60000
2023-04-12,Zone C,Industrial,424.11,387.36,70000
2023-04-13,Zone A,Residential,410.56,377.69,50000
2023-04-13,Zone B,Commercial,411.93,390.73,60000
2023-04-13,Zone C,Industrial,385.4,362.45,70000
2023-04-14,Zone A,Residential,417.48,390.46,50000
2023-04-14,Zone B,Commercial,361.09,346.5,60000
2023-04-14,Zone C,Industrial,414.43,380.01,70000
2023-04-15,Zone A,Residential,411.21,395.04,50000
2023-04-15,Zone B,Commercial,378.28,349.03,60000
2023-04-15,Zone C,Industrial,392.69,369.23,70000
2023-04-16,Zone A,Residential,401.67,386.3,50000
2023-04-16,Zone B,Commercial,425.66,405.48,60000
2023-04-16,Zone C,Industrial,411.07,373.81,70000
2023-04-17,Zone A,Residential,427.75,398.88,50000
2023-04-17,Zone B,Commercial,443.59,417.12,60000
2023-04-17,Zone C,Industrial,443.05,399.83,70000
2023-04-18,Zone A,Residential,435.61,387.01,50000
2023-04-18,Zone B,Commercial,446.03,398.49,60000
2023-04-18,Zone C,Industrial,396.24,378.99,70000
2023-04-19,Zone A,Residential,428.39,395.42,50000
2023-04-19,Zone B,Commercial,434.24,390.57,60000
2023-04-19,Zone C,Industrial,418.5,400.44,70000
2023-04-20,Zone A,Residential,404.43,387.88,50000
2023-04-20,Zone B,Commercial,440.62,404.01,60000
2023-04-20,Zone C,Industrial,418.62,387.7,70000
2023-04-21,Zone A,Residential,441.5,415.8,50000
2023-04-21,Zone B,Commercial,434.52,391.85,60000
2023-04-21,Zone C,Industrial,386.12,357.61,70000
2023-04-22,Zone A,Residential,402.33,380.27,50000
2023-04-22,Zone B,Commercial,420.09,400.8,60000
2023-04-22,Zone C,Industrial,479.95,433.96,70000
2023-04-23,Zone A,Residential,465.14,418.88,50000
2023-04-23,Zone B,Commercial,393.04,358.07,60000
2023-04-23,Zone C,Industrial,388.3,372.72,70000
2023-04-24,Zone A,Residential,468.59,426.83,50000
2023-04-24,Zone B,Commercial,462.36,416.61,60000
2023-04-24,Zone C,Industrial,490.91,449.37,70000
2023-04-25,Zone A,Residential,416.15,396.21,50000
2023-04-25,Zone B,Commercial,428.16,388.4,60000
2023-04-25,Zone C,Industrial,447.33,406.83,70000
2023-04-26,Zone A,Residential,442.14,397.07,50000
2023-04-26,Zone B,Commercial,441.8,427.38,60000
2023-04-26,Zone C,Industrial,440.28,396.43,70000
2023-04-27,Zone A,Residential,444.13,402.24,50000
2023-04-27,Zone B,Commercial,404.06,388.06,60000
2023-04-27,Zone C,Industrial,461.58,422.78,70000
2023-04-28,Zone A,Residential,425.63,389.98,50000
2023-04-28,Zone B,Commercial,436.77,416.7,60000
2023-04-28,Zone C,Industrial,469.79,445.96,70000
2023-04-29,Zone A,Residential,401.9,373.42,50000
2023-04-29,Zone B,Commercial,486.81,438.92,60000
2023-04-29,Zone C,Industrial,444.83,414.6,70000
2023-04-30,Zone A,Residential,421.29,386.83,50000
2023-04-30,Zone B,Commercial,449.4,411.53,60000
2023-04-30,Zone C,Industrial,470.76,423.86,70000
2023-05-01,Zone A,Residential,426.71,393.66,50000
2023-05-01,Zone B,Commercial,453.17,418.9,60000
2023-05-01,Zone C,Industrial,488.71,441.33,70000
2023-05-02,Zone A,Residential,446.17,399.15,50000
2023-05-02,Zone B,Commercial,438.97,389.58,60000
2023-05-02,Zone C,Industrial,450.41,406.86,70000
2023-05-03,Zone A,Residential,443.83,410.18,50000
2023-05-03,Zone B,Commercial,456.91,430.95,60000
2023-05-03,Zone C,Industrial,448.02,405.9,70000
2023-05-04,Zone A,Residential,410.18,400.0,50000
2023-05-04,Zone B,Commercial,419.79,388.29,60000
2023-05-04,Zone C,Industrial,422.23,375.44,70000
2023-05-05,Zone A,Residential,421.5,382.0,50000
2023-05-05,Zone B,Commercial,409.99,381.9,60000
2023-05-05,Zone C,Industrial,418.24,402.61,70000
2023-05-06,Zone A,Residential,393.86,376.8,50000
2023-05-06,Zone B,Commercial,399.52,352.93,60000
2023-05-06,Zone C,Industrial,430.27,405.78,70000
2023-05-07,Zone A,Residential,453.23,442.71,50000
2023-05-07,Zone B,Commercial,464.8,428.26,60000
2023-05-07,Zone C,Industrial,413.77,400.35,70000
2023-05-08,Zone A,Residential,432.15,382.27,50000
2023-05-08,Zone B,Commercial,468.56,455.87,60000
2023-05-08,Zone C,Industrial,445.59,405.59,70000
2023-05-09,Zone A,Residential,425.07,406.86,50000
2023-05-09,Zone B,Commercial,417.64,400.01,60000
2023-05-09,Zone C,Industrial,434.84,402.24,70000
2023-05-10,Zone A,Residential,402.98,390.35,50000
2023-05-10,Zone B,Commercial,427.1,396.12,60000
2023-05-10,Zone C,Industrial,458.93,431.3,70000
2023-05-11,Zone A,Residential,440.51,424.3,50000
2023-05-11,Zone B,Commercial,375.19,357.91,60000
2023-05-11,Zone C,Industrial,406.99,371.23,70000
2023-05-12,Zone A,Residential,408.18,381.83,50000
2023-05-12,Zone B,Commercial,427.18,416.1,60000
2023-05-12,Zone C,Industrial,441.69,422.81,70000
2023-05-13,Zone A,Residential,420.47,409.68,50000
2023-05-13,Zone B,Commercial,386.83,372.66,60000
2023-05-13,Zone C,Industrial,420.87,384.76,70000
2023-05-14,Zone A,Residential,422.29,402.77,50000
2023-05-14,Zone B,Commercial,427.06,388.17,60000
2023-05-14,Zone C,Industrial,429.71,385.48,70000
2023-05-15,Zone A,Residential,420.1,383.38,50000
2023-05-15,Zone B,Commercial,431.98,413.78,60000
2023-05-15,Zone C,Industrial,412.98,402.46,70000
2023-05-16,Zone A,Residential,395.34,381.91,50000
2023-05-16,Zone B,Commercial,421.49,394.63,60000
2023-05-16,Zone C,Industrial,408.79,363.08,70000
2023-05-17,Zone A,Residential,395.45,375.07,50000
2023-05-17,Zone B,Commercial,431.69,406.51,60000
2023-05-17,Zone C,Industrial,389.36,354.39,70000
2023-05-18,Zone A,Residential,421.36,394.99,50000
2023-05-18,Zone B,Commercial,363.01,341.23,60000
2023-05-18,Zone C,Industrial,464.73,416.8,70000
2023-05-19,Zone A,Residential,413.98,369.25,50000
2023-05-19,Zone B,Commercial,417.62,388.13,60000
2023-05-19,Zone C,Industrial,409.44,382.43,70000
2023-05-20,Zone A,Residential,391.28,380.38,50000
2023-05-20,Zone B,Commercial,418.87,383.53,60000
2023-05-20,Zone C,Industrial,363.48,343.17,70000
2023-05-21,Zone A,Residential,427.36,377.98,50000
2023-05-21,Zone B,Commercial,401.91,370.89,60000
2023-05-21,Zone C,Industrial,374.51,363.77,70000
2023-05-22,Zone A,Residential,402.74,356.17,50000
2023-05-22,Zone B,Commercial,396.62,375.66,60000
2023-05-22,Zone C,Industrial,384.34,352.17,70000
2023-05-23,Zone A,Residential,407.75,389.49,50000
2023-05-23,Zone B,Commercial,388.8,378.36,60000
2023-05-23,Zone C,Industrial,408.05,374.03,70000
2023-05-24,Zone A,Residential,422.34,385.74,50000
2023-05-24,Zone B,Commercial,360.02,329.27,60000
2023-05-24,Zone C,Industrial,352.37,340.49,70000
2023-05-25,Zone A,Residential,386.95,373.64,50000
2023-05-25,Zone B,Commercial,382.89,348.77,60000
2023-05-25,Zone C,Industrial,372.6,351.05,70000
2023-05-26,Zone A,Residential,356.62,332.39,50000
2023-05-26,Zone B,Commercial,373.66,341.01,60000
2023-05-26,Zone C,Industrial,410.64,381.6,70000
2023-05-27,Zone A,Residential,406.99,367.68,50000
2023-05-27,Zone B,Commercial,380.11,361.51,60000
2023-05-27,Zone C,Industrial,376.16,346.3,70000
2023-05-28,Zone A,Residential,391.49,357.62,50000
2023-05-28,Zone B,Commercial,392.43,378.16,60000
2023-05-28,Zone C,Industrial,354.12,341.11,70000
2023-05-29,Zone A,Residential,389.45,351.92,50000
2023-05-29,Zone B,Commercial,415.43,388.03,60000
2023-05-29,Zone C,Industrial,408.75,366.77,70000
2023-05-30,Zone A,Residential,376.69,338.9,50000
2023-05-30,Zone B,Commercial,387.03,362.59,60000
2023-05-30,Zone C,Industrial,332.41,318.75,70000
2023-05-31,Zone A,Residential,363.72,346.31,50000
2023-05-31,Zone B,Commercial,391.89,360.21,60000
2023-05-31,Zone C,Industrial,397.67,355.4,70000
2023-06-01,Zone A,Residential,394.13,357.78,50000
2023-06-01,Zone B,Commercial,382.23,362.24,60000
2023-06-01,Zone C,Industrial,384.33,354.75,70000
2023-06-02,Zone A,Residential,369.28,352.06,50000
2023-06-02,Zone B,Commercial,380.33,347.62,60000
2023-06-02,Zone C,Industrial,368.82,321.84,70000
2023-06-03,Zone A,Residential,411.41,362.57,50000
2023-06-03,Zone B,Commercial,385.2,340.72,60000
2023-06-03,Zone C,Industrial,398.92,355.14,70000
2023-06-04,Zone A,Residential,369.95,358.47,50000
2023-06-04,Zone B,Commercial,363.23,329.38,60000
2023-06-04,Zone C,Industrial,344.09,331.01,70000
2023-06-05,Zone A,Residential,369.74,331.89,50000
2023-06-05,Zone B,Commercial,375.8,363.18,60000
2023-06-05,Zone C,Industrial,342.79,320.18,70000
2023-06-06,Zone A,Residential,388.3,365.55,50000
2023-06-06,Zone B,Commercial,375.58,340.54,60000
2023-06-06,Zone C,Industrial,361.27,341.95,70000
2023-06-07,Zone A,Residential,364.1,353.12,50000
2023-06-07,Zone B,Commercial,384.54,336.98,60000
2023-06-07,Zone C,Industrial,398.59,356.64,70000
2023-06-08,Zone A,Residential,353.1,323.9,50000
2023-06-08,Zone B,Commercial,397.53,362.43,60000
2023-06-08,Zone C,Industrial,352.19,325.34,70000
2023-06-09,Zone A,Residential,401.93,362.43,50000
2023-06-09,Zone B,Commercial,349.14,324.96,60000
2023-06-09,Zone C,Industrial,349.22,327.73,70000
2023-06-10,Zone A,Residential,324.28,312.6,50000
2023-06-10,Zone B,Commercial,328.04,317.32,60000
2023-06-10,Zone C,Industrial,357.36,331.99,70000
2023-06-11,Zone A,Residential,374.08,336.89,50000
2023-06-11,Zone B,Commercial,399.69,351.9,60000
2023-06-11,Zone C,Industrial,356.63,327.93,70000
2023-06-12,Zone A,Residential,359.15,309.5,50000
2023-06-12,Zone B,Commercial,358.87,339.6,60000
2023-06-12,Zone C,Industrial,369.59,335.28,70000
2023-06-13,Zone A,Residential,372.27,341.76,50000
2023-06-13,Zone B,Commercial,337.98,319.16,60000
2023-06-13,Zone C,Industrial,338.75,321.29,70000
2023-06-14,Zone A,Residential,331.66,319.35,50000
2023-06-14,Zone B,Commercial,404.64,355.88,60000
2023-06-14,Zone C,Industrial,398.35,360.51,70000
2023-06-15,Zone A,Residential,337.24,321.09,50000
2023-06-15,Zone B,Commercial,340.41,321.46,60000
2023-06-15,Zone C,Industrial,376.64,345.16,70000
2023-06-16,Zone A,Residential,377.74,364.08,50000
2023-06-16,Zone B,Commercial,414.14,369.04,60000
2023-06-16,Zone C,Industrial,366.42,320.87,70000
2023-06-17,Zone A,Residential,374.45,326.22,50000
2023-06-17,Zone B,Commercial,375.9,339.69,60000
